City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,melipilla,-33.7,-71.2167,28.138888888888893,46,0,10.49,CL,1712428688
66,valle vista,33.7478,-116.8934,16.12777777777778,57,3,3.0,US,1712428688
67,mar del plata,-38.0023,-57.5575,28.072222222222223,44,0,19.57,AR,1712428676
68,mana,5.6592,-53.7767,29.227777777777778,65,100,9.37,GF,1712428688
69,keflavik,64.0049,-22.5624,0.9500000000000005,59,40,26.46,IS,1712428424
70,hithadhoo,-0.6,73.0833,26.622222222222224,83,100,10.02,MV,1712428689
71,plesetsk,62.708,40.2916,-0.049999999999999926,98,100,10.58,RU,1712428689
72,betioky,-23.7167,44.3833,22.477777777777774,78,94,5.03,MG,1712428689
73,lyantor,61.6195,72.1555,-13.761111111111111,89,7,7.96,RU,1712428689
74,gadzhiyevo,69.2551,33.3362,-10.88888888888889,93,26,7.76,RU,1712428401
75,kavaratti,10.5669,72.642,29.038888888888888,75,38,8.5,IN,1712428689
76,nova xavantina,-14.6667,-52.35,29.327777777777783,73,33,3.36,BR,1712428689
77,axim,4.8699,-2.2405,28.400000000000002,79,7,7.58,GH,1712428689
78,olonkinbyen,70.9221,-8.7187,-6.211111111111111,64,100,15.01,SJ,1712428690
79,tercan,39.7794,40.3925,8.599999999999998,64,100,1.77,TR,1712428690
80,praia,14.9215,-23.5087,27.3,47,20,23.02,CV,1712428690
81,aasiaat,68.7098,-52.8699,-6.072222222222222,81,100,5.75,GL,1712428690
82,avarua,-21.2078,-159.775,25.02777777777778,94,75,6.91,CK,1712428690
83,new norfolk,-42.7826,147.0587,14.27777777777778,92,100,1.14,AU,1712428690
84,whitehorse,60.7161,-135.0538,1.172222222222222,74,75,11.5,CA,1712428513
85,port elizabeth,-33.918,25.5701,16.722222222222225,89,20,11.5,ZA,1712428398
86,afaahiti,-17.75,-149.2833,27.927777777777777,82,100,10.71,PF,1712428415
87,hasaki,35.7333,140.8333,15.161111111111111,95,100,16.82,JP,1712428400
88,edinburgh of the seven seas,-37.0676,-12.3116,19.061111111111114,93,100,20.04,SH,1712428395
89,kourou,5.1552,-52.6478,31.027777777777775,64,100,7.2,GF,1712428691
90,port alfred,-33.5906,26.891,18.47777777777778,70,100,19.48,ZA,1712428691
91,sargur,11.9833,76.4167,23.5,87,24,7.87,IN,1712428691
92,sao vicente,-23.9631,-46.3919,29.099999999999998,63,100,9.22,BR,1712428497
93,san,13.3034,-4.8956,36.272222222222226,30,100,8.99,ML,1712428691
94,belmonte,-15.8631,-38.8828,28.322222222222226,68,5,9.55,BR,1712428691
95,geraldton,-28.7667,114.6,18.22777777777778,94,100,5.75,AU,1712428692
96,tanjung sepat,2.6579,101.5629,28.077777777777783,89,20,2.3,MY,1712428692
97,lerwick,60.1545,-1.1494,10.0,82,53,30.33,GB,1712428692
98,tsiombe,-25.3,45.4833,22.622222222222224,97,85,2.39,MG,1712428692
99,vilyuchinsk,52.9306,158.4028,-1.8499999999999992,79,83,10.0,RU,1712428692
100,zhalantun,48.0,122.7167,-2.000000000000001,55,0,3.18,CN,1712428692
101,enewetak,11.3474,162.3373,27.26111111111111,75,73,17.87,MH,1712428692
102,kone,-21.0595,164.8658,22.22222222222222,86,100,4.56,NC,1712428692
103,sao jose da coroa grande,-8.8978,-35.1478,28.911111111111115,71,25,8.9,BR,1712428693
104,kirriemuir,56.674,-3.0034,12.127777777777778,74,73,25.7,GB,1712428693
105,constantia,44.1833,28.65,15.388888888888891,79,100,10.78,RO,1712428693
106,jamestown,42.097,-79.2353,9.772222222222224,53,40,11.5,US,1712428675
107,bida,9.0833,6.0167,32.87777777777778,42,10,6.91,NG,1712428693
108,masterton,-40.9597,175.6575,7.277777777777779,95,4,0.94,NZ,1712428693
109,taoudenni,22.6783,-3.9836,33.5,7,0,8.16,ML,1712428693
110,verin,41.9415,-7.4381,11.761111111111113,79,100,1.77,ES,1712428693
111,abadan,30.3392,48.3043,24.972222222222225,36,0,2.3,IR,1712428419
112,sogndal,61.2283,7.1003,4.21111111111111,93,100,10.36,NO,1712428694
113,mpongwe,-13.5091,28.155,19.07777777777778,96,100,5.19,ZM,1712428694
114,freetown,8.484,-13.2299,26.538888888888888,83,100,9.08,SL,1712428694
115,christchurch,-43.5333,172.6333,6.622222222222224,95,18,2.3,NZ,1712428651
116,isafjordur,66.0755,-23.124,-4.561111111111112,71,90,31.76,IS,1712428414
117,bereznik,62.8551,42.7072,-0.8777777777777769,97,100,11.56,RU,1712428694
118,urengoy,65.9667,78.3667,-12.372222222222222,91,10,14.54,RU,1712428408
119,port hueneme,34.1478,-119.1951,17.922222222222224,49,0,6.91,US,1712428694
120,la libertad,-2.2333,-80.9,29.81111111111111,70,20,9.22,EC,1712428694
121,emerald,-23.5333,148.1667,19.627777777777776,99,98,9.64,AU,1712428540
122,sarmiento,-45.5882,-69.07,19.061111111111114,39,22,32.75,AR,1712428515
123,arraial do cabo,-22.9661,-42.0278,27.977777777777778,74,20,10.36,BR,1712428563
124,aykhal,66.0,111.5,-20.650000000000002,100,100,12.84,RU,1712428695
